epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,3583.11,0.81679,0.80006,1.19586,0.73402,0.76354,0.74969,0.55931,1.18879,1.0757,1.51699,0.00035382,0.00035382,0.00035382
78,3628.31,0.81362,0.82191,1.20136,0.76333,0.74184,0.79045,0.59188,1.13423,1.04734,1.48956,0.000339673,0.000339673,0.000339673
79,3673.58,0.79212,0.78155,1.18338,0.74166,0.71864,0.74784,0.5637,1.11365,1.15734,1.44798,0.000325526,0.000325526,0.000325526
80,3718.79,0.78862,0.78215,1.18244,0.66713,0.76289,0.751,0.55051,1.15802,1.14546,1.47284,0.000311379,0.000311379,0.000311379
81,3763.92,0.78398,0.74667,1.17687,0.72023,0.74133,0.74767,0.55528,1.1298,1.19179,1.45843,0.000297232,0.000297232,0.000297232
82,3809.1,0.79291,0.75453,1.18403,0.65382,0.78438,0.75809,0.57177,1.12359,1.1021,1.46979,0.000283085,0.000283085,0.000283085
83,3854.39,0.77969,0.75381,1.16023,0.70287,0.8032,0.75684,0.57488,1.15282,1.15264,1.48985,0.000268938,0.000268938,0.000268938
84,3899.63,0.78133,0.75258,1.17309,0.72305,0.73842,0.77456,0.58239,1.1402,1.09478,1.48933,0.000254791,0.000254791,0.000254791
85,3944.91,0.76379,0.72799,1.15594,0.77791,0.75209,0.77848,0.5834,1.13953,1.07436,1.475,0.000240644,0.000240644,0.000240644
86,3990.16,0.7349,0.72269,1.14422,0.67549,0.80125,0.75586,0.57308,1.11052,1.15865,1.45685,0.000226497,0.000226497,0.000226497
87,4035.69,0.75121,0.70384,1.15533,0.81811,0.72639,0.76522,0.56575,1.17082,1.08892,1.54061,0.000212349,0.000212349,0.000212349
88,4081.33,0.75086,0.73625,1.15838,0.75686,0.72163,0.77551,0.58227,1.15473,1.0845,1.52358,0.000198202,0.000198202,0.000198202
89,4126.73,0.7296,0.71231,1.13559,0.764,0.73938,0.77004,0.57711,1.14596,1.07397,1.51256,0.000184055,0.000184055,0.000184055
90,4171.94,0.74714,0.70188,1.16003,0.76626,0.73495,0.7631,0.57042,1.16167,1.09984,1.5175,0.000169908,0.000169908,0.000169908
91,4246.39,0.70988,0.5301,1.15026,0.67505,0.7686,0.75653,0.56214,1.15362,1.16801,1.51435,0.000155761,0.000155761,0.000155761
92,4291.67,0.67061,0.48773,1.1191,0.71942,0.76647,0.74894,0.57021,1.13187,1.15097,1.48733,0.000141614,0.000141614,0.000141614
93,4336.85,0.66864,0.48322,1.10944,0.77494,0.71299,0.76402,0.57224,1.14033,1.08821,1.49202,0.000127467,0.000127467,0.000127467
94,4382.03,0.64537,0.43807,1.09077,0.75174,0.74716,0.7758,0.57864,1.15128,1.07491,1.51084,0.00011332,0.00011332,0.00011332
95,4427.19,0.6337,0.4251,1.08383,0.74078,0.75553,0.76247,0.57195,1.15202,1.07339,1.51093,9.91726e-05,9.91726e-05,9.91726e-05
96,4472.34,0.61742,0.41249,1.07812,0.69116,0.77281,0.76168,0.5787,1.16572,1.13211,1.50919,8.50255e-05,8.50255e-05,8.50255e-05
97,4517.45,0.62214,0.41483,1.07113,0.74878,0.73144,0.76393,0.56852,1.15719,1.11898,1.51999,7.08784e-05,7.08784e-05,7.08784e-05
98,4562.65,0.59959,0.4194,1.06912,0.75956,0.73144,0.76454,0.57247,1.14977,1.10322,1.51054,5.67313e-05,5.67313e-05,5.67313e-05
99,4607.81,0.60043,0.39624,1.07103,0.76761,0.73916,0.76126,0.56357,1.16262,1.14787,1.52901,4.25842e-05,4.25842e-05,4.25842e-05
100,4652.97,0.58412,0.38729,1.06067,0.74503,0.74362,0.76139,0.56218,1.15378,1.146,1.51803,2.84371e-05,2.84371e-05,2.84371e-05
