epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3915.8,0.76668,0.6878,1.21654,0.73993,0.78371,0.80384,0.59083,1.15218,0.89573,1.66506,0.000198202,0.000198202,0.000198202
89,3949.55,0.76846,0.69154,1.20362,0.75897,0.75068,0.78823,0.58153,1.14087,0.91628,1.64289,0.000184055,0.000184055,0.000184055
90,3983.5,0.76236,0.67273,1.22541,0.81875,0.73398,0.80219,0.59069,1.13512,0.9002,1.62684,0.000169908,0.000169908,0.000169908
91,4051.5,0.75221,0.51196,1.27085,0.7255,0.78942,0.79687,0.59719,1.14756,0.95755,1.63389,0.000155761,0.000155761,0.000155761
92,4101.77,0.72216,0.47057,1.24045,0.73658,0.81181,0.81178,0.59668,1.15685,0.92405,1.62784,0.000141614,0.000141614,0.000141614
93,4161.46,0.70913,0.43355,1.22433,0.71471,0.78219,0.79684,0.59121,1.14784,0.94803,1.63633,0.000127467,0.000127467,0.000127467
94,4215.11,0.69994,0.42059,1.21394,0.70512,0.80752,0.79234,0.58865,1.1404,0.96484,1.63022,0.00011332,0.00011332,0.00011332
95,4275.14,0.66511,0.42685,1.20008,0.70418,0.78819,0.79673,0.60024,1.13245,0.92282,1.62567,9.91726e-05,9.91726e-05,9.91726e-05
96,4334.63,0.66249,0.39137,1.20544,0.71421,0.78162,0.79623,0.59712,1.13721,0.9769,1.63297,8.50255e-05,8.50255e-05,8.50255e-05
97,4378.74,0.66757,0.39045,1.19701,0.73388,0.80315,0.79493,0.59125,1.1299,0.97301,1.64343,7.08784e-05,7.08784e-05,7.08784e-05
98,4412.77,0.65321,0.3991,1.19094,0.83252,0.69663,0.79742,0.59753,1.12069,0.95505,1.63017,5.67313e-05,5.67313e-05,5.67313e-05
99,4447.13,0.64846,0.40001,1.19288,0.78962,0.7236,0.79411,0.59584,1.13508,0.96557,1.64807,4.25842e-05,4.25842e-05,4.25842e-05
100,4481.32,0.63348,0.3963,1.19318,0.69484,0.82331,0.80081,0.59829,1.13332,0.98255,1.62919,2.84371e-05,2.84371e-05,2.84371e-05
