epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2583.87,0.60528,0.77521,1.04781,0.82787,0.69135,0.80278,0.67471,0.68109,0.73662,1.0501,0.000311379,0.000311379,0.000311379
81,2611.66,0.57893,0.75779,1.02866,0.80237,0.71223,0.81783,0.69484,0.66507,0.77404,1.04184,0.000297232,0.000297232,0.000297232
82,2640.14,0.60248,0.77302,1.05023,0.75059,0.74554,0.80812,0.68279,0.67202,0.73337,1.04342,0.000283085,0.000283085,0.000283085
83,2668.53,0.58364,0.73892,1.03307,0.81083,0.69766,0.78955,0.67218,0.6583,0.74784,1.03695,0.000268938,0.000268938,0.000268938
84,2696.73,0.5907,0.77364,1.04339,0.77114,0.76397,0.81806,0.68652,0.67257,0.71164,1.04353,0.000254791,0.000254791,0.000254791
85,2724.94,0.57044,0.73759,1.02666,0.79255,0.7134,0.81078,0.68009,0.67254,0.74002,1.05579,0.000240644,0.000240644,0.000240644
86,2753.4,0.58138,0.74278,1.03434,0.7678,0.75978,0.80799,0.66974,0.68765,0.80068,1.07069,0.000226497,0.000226497,0.000226497
87,2781.79,0.56339,0.70511,1.01776,0.84273,0.69266,0.81015,0.6874,0.66189,0.73147,1.04116,0.000212349,0.000212349,0.000212349
88,2810.16,0.5536,0.70559,1.01647,0.68422,0.76416,0.79211,0.67497,0.66676,0.76239,1.04576,0.000198202,0.000198202,0.000198202
89,2838.14,0.57097,0.74772,1.0252,0.7271,0.79112,0.80812,0.67787,0.67796,0.76113,1.05555,0.000184055,0.000184055,0.000184055
90,2866.26,0.55787,0.7041,1.02001,0.78366,0.71248,0.80451,0.68396,0.67166,0.74486,1.04284,0.000169908,0.000169908,0.000169908
91,2949.91,0.50205,0.53733,0.96042,0.77693,0.68908,0.78915,0.66999,0.66635,0.7289,1.05018,0.000155761,0.000155761,0.000155761
92,2991.27,0.48564,0.50309,0.95406,0.77952,0.73311,0.79528,0.67935,0.66376,0.73217,1.04457,0.000141614,0.000141614,0.000141614
93,3019.44,0.48884,0.47538,0.95899,0.81965,0.72104,0.79625,0.67628,0.67055,0.74158,1.06024,0.000127467,0.000127467,0.000127467
94,3047.49,0.45401,0.4568,0.93817,0.7912,0.70117,0.78944,0.67295,0.65595,0.77464,1.05261,0.00011332,0.00011332,0.00011332
95,3076.57,0.47165,0.45608,0.94638,0.77526,0.71102,0.77499,0.66645,0.65515,0.76279,1.04859,9.91726e-05,9.91726e-05,9.91726e-05
96,3104.71,0.46806,0.42577,0.94487,0.76904,0.74329,0.77427,0.66432,0.66111,0.77797,1.04732,8.50255e-05,8.50255e-05,8.50255e-05
97,3132.79,0.47021,0.46697,0.95218,0.76397,0.72749,0.78442,0.66728,0.65302,0.77076,1.03835,7.08784e-05,7.08784e-05,7.08784e-05
98,3160.79,0.44625,0.42141,0.9394,0.77057,0.72349,0.78771,0.67627,0.6403,0.75916,1.03399,5.67313e-05,5.67313e-05,5.67313e-05
99,3188.85,0.44032,0.42597,0.93383,0.74993,0.72926,0.792,0.67055,0.65332,0.75285,1.04262,4.25842e-05,4.25842e-05,4.25842e-05
100,3216.94,0.44341,0.41798,0.93971,0.74354,0.74196,0.7905,0.6761,0.64613,0.7465,1.03703,2.84371e-05,2.84371e-05,2.84371e-05
